01:07:25 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
02:08:24 [AccountInfo] Account disconnected (Account: erika107, IpAddress: 186.39.200.184, GameServerCode: 0)
02:09:04 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.200.184, GameServerCode: 0)
03:33:25 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
03:36:13 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
03:36:19 [AccountInfo] Account connected (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
03:37:44 [AccountInfo] Account connected (Account: braian92, IpAddress: 190.17.22.8, GameServerCode: 0)
03:53:52 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
04:15:51 [AccountInfo] Account disconnected (Account: dangerous7, IpAddress: 181.225.27.53, GameServerCode: 0)
06:42:19 [AccountInfo] Account connected (Account: belen107, IpAddress: 186.39.200.184, GameServerCode: 0)
07:30:07 [AccountInfo] Account connected (Account: 92nato4, IpAddress: 200.5.101.170, GameServerCode: 0)
08:01:33 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
09:02:44 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
09:09:06 [AccountInfo] Account disconnected (Account: 92nato4, IpAddress: 200.5.101.170, GameServerCode: 0)
09:36:23 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
10:32:37 [AccountInfo] Account disconnected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
13:05:07 [AccountInfo] Account disconnected (Account: erika107, IpAddress: 186.39.200.184, GameServerCode: 0)
13:05:48 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.200.184, GameServerCode: 0)
