03:23:57 [AccountInfo] Account connected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
03:34:05 [AccountInfo] Account disconnected by clear (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
03:34:05 [AccountInfo] Account disconnected by clear (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
03:34:05 [AccountInfo] Account disconnected by clear (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
03:34:05 [AccountInfo] Account disconnected by clear (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
03:34:05 [AccountInfo] Account disconnected by clear (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
03:41:37 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
03:41:38 [AccountInfo] Account disconnected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
03:47:22 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
03:47:46 [AccountInfo] Account connected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
03:48:39 [AccountInfo] Account connected (Account: braian91, IpAddress: 208.64.68.5, GameServerCode: 0)
03:49:22 [AccountInfo] Account connected (Account: braian92, IpAddress: 208.64.68.5, GameServerCode: 0)
03:53:49 [AccountInfo] Account disconnected by clear (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
03:53:49 [AccountInfo] Account disconnected by clear (Account: braian91, IpAddress: 208.64.68.5, GameServerCode: 0)
03:53:49 [AccountInfo] Account disconnected by clear (Account: braian92, IpAddress: 208.64.68.5, GameServerCode: 0)
03:53:49 [AccountInfo] Account disconnected by clear (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
03:59:16 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
03:59:50 [AccountInfo] Account connected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
04:02:00 [AccountInfo] Account connected (Account: braian91, IpAddress: 208.64.68.5, GameServerCode: 0)
04:03:13 [AccountInfo] Account connected (Account: braian92, IpAddress: 208.64.68.5, GameServerCode: 0)
04:29:47 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
04:30:27 [AccountInfo] Account connected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
05:00:17 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
05:00:58 [AccountInfo] Account connected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
05:30:49 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
05:31:30 [AccountInfo] Account connected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
06:01:20 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
06:02:00 [AccountInfo] Account connected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
06:31:51 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
06:32:31 [AccountInfo] Account connected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
07:02:21 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
07:03:02 [AccountInfo] Account connected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
07:32:52 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
07:33:33 [AccountInfo] Account connected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
08:03:23 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
08:04:04 [AccountInfo] Account connected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
08:33:54 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
08:34:34 [AccountInfo] Account connected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
09:04:24 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
