02:11:27 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
03:01:05 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
07:48:44 [AccountInfo] Account disconnected (Account: frank1, IpAddress: 181.65.209.59, GameServerCode: 0)
07:48:46 [AccountInfo] Account connected (Account: frank1, IpAddress: 181.65.209.59, GameServerCode: 0)
08:19:08 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
08:19:11 [AccountInfo] Account disconnected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
08:19:11 [AccountInfo] Account disconnected (Account: yincoxx, IpAddress: 45.171.224.166, GameServerCode: 0)
08:19:51 [AccountInfo] Account connected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
08:19:51 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
08:20:21 [AccountInfo] Account connected (Account: yincoxx, IpAddress: 45.171.224.166, GameServerCode: 0)
08:24:38 [AccountInfo] Account connected (Account: frank3, IpAddress: 181.65.209.59, GameServerCode: 0)
08:27:56 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
08:28:04 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
08:28:47 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
08:29:48 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
08:30:55 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
08:34:12 [AccountInfo] Account disconnected (Account: yincoxx, IpAddress: 45.171.224.166, GameServerCode: 0)
08:34:27 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
08:34:47 [AccountInfo] Account disconnected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
09:13:11 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
09:14:22 [AccountInfo] Account connected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
09:17:04 [AccountInfo] Account connected (Account: yincoxx, IpAddress: 45.171.224.166, GameServerCode: 0)
09:23:14 [AccountInfo] Account disconnected (Account: frank3, IpAddress: 181.65.209.59, GameServerCode: 0)
09:24:08 [AccountInfo] Account connected (Account: frank3, IpAddress: 181.65.209.59, GameServerCode: 0)
09:36:44 [AccountInfo] Account connected (Account: frank2, IpAddress: 181.65.209.59, GameServerCode: 0)
09:41:44 [AccountInfo] Account disconnected (Account: frank2, IpAddress: 181.65.209.59, GameServerCode: 0)
10:01:40 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
10:02:50 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
10:14:04 [AccountInfo] Account connected (Account: braian90, IpAddress: 67.219.137.107, GameServerCode: 0)
10:15:10 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 67.219.137.107, GameServerCode: 0)
12:54:30 [AccountInfo] Account connected (Account: 92nato, IpAddress: 186.143.163.55, GameServerCode: 0)
13:03:52 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 186.143.163.55, GameServerCode: 0)
13:16:59 [AccountInfo] Account connected (Account: 92nato, IpAddress: 186.143.163.55, GameServerCode: 0)
13:24:27 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 186.143.163.55, GameServerCode: 0)
13:27:31 [AccountInfo] Account connected (Account: 92nato, IpAddress: 186.143.165.120, GameServerCode: 0)
14:52:47 [AccountInfo] Account disconnected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
14:52:47 [AccountInfo] Account disconnected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
14:54:52 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
14:54:53 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
14:59:59 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
15:36:24 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 186.143.165.120, GameServerCode: 0)
15:40:55 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
16:20:07 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
17:33:19 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:34:33 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:34:42 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:35:22 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:47:44 [AccountInfo] Account disconnected (Account: frank1, IpAddress: 181.65.209.59, GameServerCode: 0)
