02:23:34 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
02:24:40 [AccountInfo] Account connected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
02:49:13 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
05:10:08 [AccountInfo] Account disconnected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
05:10:09 [AccountInfo] Account disconnected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
05:12:26 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
05:12:29 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
10:21:24 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
10:28:52 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
11:22:09 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
11:42:17 [AccountInfo] Account disconnected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
14:55:20 [AccountInfo] Account disconnected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
14:55:20 [AccountInfo] Account disconnected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
14:56:46 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
14:56:48 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
16:40:44 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
17:17:52 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
18:51:46 [AccountInfo] Account disconnected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
18:52:25 [AccountInfo] Account connected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
