01:41:19 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
01:42:00 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
04:40:44 [AccountInfo] Account connected (Account: all950, IpAddress: 186.128.3.18, GameServerCode: 0)
07:27:41 [AccountInfo] Account disconnected (Account: all950, IpAddress: 186.128.3.18, GameServerCode: 0)
09:03:43 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
09:03:50 [AccountInfo] Account disconnected (Account: erika107, IpAddress: 186.39.203.82, GameServerCode: 0)
09:04:24 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
09:04:31 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.203.82, GameServerCode: 0)
09:51:33 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
09:57:10 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
10:51:35 [AccountInfo] Account connected (Account: salchipapa, IpAddress: 181.46.166.152, GameServerCode: 0)
10:54:05 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
14:19:06 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
14:20:23 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
14:43:27 [AccountInfo] Account connected (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
14:44:53 [AccountInfo] Account connected (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
14:49:25 [AccountInfo] Account disconnected (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
14:49:32 [AccountInfo] Account disconnected (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
14:50:03 [AccountInfo] Account connected (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
14:50:36 [AccountInfo] Account connected (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
16:06:11 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
16:07:27 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
16:48:03 [AccountInfo] Account disconnected (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
16:48:40 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
16:48:42 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
16:49:14 [AccountInfo] Account connected (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
17:34:36 [AccountInfo] Account disconnected (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
17:34:40 [AccountInfo] Account disconnected (Account: braian92, IpAddress: 190.17.22.8, GameServerCode: 0)
17:34:45 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
18:21:27 [AccountInfo] Account disconnected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
18:22:23 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
18:28:50 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
18:29:14 [AccountInfo] Account connected (Account: 92nato4, IpAddress: 200.5.101.170, GameServerCode: 0)
18:44:36 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
18:44:43 [AccountInfo] Account disconnected (Account: 92nato4, IpAddress: 200.5.101.170, GameServerCode: 0)
18:44:54 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
18:53:04 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
18:53:12 [AccountInfo] Account connected (Account: 92nato4, IpAddress: 200.5.101.170, GameServerCode: 0)
19:09:51 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
19:18:31 [AccountInfo] Account connected (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
19:18:35 [AccountInfo] Account disconnected (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
21:43:07 [AccountInfo] Account disconnected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
21:43:07 [AccountInfo] Account disconnected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
21:43:08 [AccountInfo] Account disconnected (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
21:43:08 [AccountInfo] Account disconnected (Account: salchipapa, IpAddress: 181.46.166.152, GameServerCode: 0)
21:43:08 [AccountInfo] Account disconnected (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
22:45:04 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
