00:27:04 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
01:16:52 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
01:16:54 [AccountInfo] Account disconnected (Account: yincoxx, IpAddress: 45.171.224.166, GameServerCode: 0)
10:31:25 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
10:33:19 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
10:41:08 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
10:41:16 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
11:01:14 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
11:07:53 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
12:33:56 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 19)
13:46:54 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
14:12:32 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
14:16:56 [AccountInfo] Account connected (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
17:12:44 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
17:14:43 [AccountInfo] Account disconnected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
17:15:23 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
17:17:41 [AccountInfo] Account disconnected by clear (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:17:41 [AccountInfo] Account disconnected by clear (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
17:17:41 [AccountInfo] Account disconnected by clear (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
17:17:41 [AccountInfo] Account disconnected by clear (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
17:18:53 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
17:18:55 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:18:56 [AccountInfo] Account connected (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
17:19:23 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
17:41:44 [AccountInfo] Account disconnected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
17:51:02 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
18:25:49 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
18:35:41 [AccountInfo] Account connected (Account: yincox, IpAddress: 200.5.101.170, GameServerCode: 0)
18:56:23 [AccountInfo] Account disconnected (Account: yincox, IpAddress: 200.5.101.170, GameServerCode: 0)
18:57:12 [AccountInfo] Account connected (Account: yincox, IpAddress: 200.5.101.170, GameServerCode: 0)
19:17:54 [AccountInfo] Account disconnected (Account: yincox, IpAddress: 200.5.101.170, GameServerCode: 0)
19:22:19 [AccountInfo] Account connected (Account: yinco, IpAddress: 200.5.101.170, GameServerCode: 0)
19:22:33 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 200.5.101.170, GameServerCode: 0)
19:22:53 [AccountInfo] Account connected (Account: yinco, IpAddress: 200.5.101.170, GameServerCode: 0)
19:42:49 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 200.5.101.170, GameServerCode: 0)
19:45:04 [AccountInfo] Account connected (Account: yincoxx, IpAddress: 200.5.101.170, GameServerCode: 0)
19:49:53 [AccountInfo] Account connected (Account: yinco, IpAddress: 200.5.101.170, GameServerCode: 0)
20:32:50 [AccountInfo] Account disconnected (Account: yincoxx, IpAddress: 200.5.101.170, GameServerCode: 0)
20:32:56 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 200.5.101.170, GameServerCode: 0)
20:56:36 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
