12:37:45 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
15:21:39 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
15:21:44 [AccountInfo] Account disconnected (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
15:30:41 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:23:37 [AccountInfo] Account connected (Account: dangerous7, IpAddress: 170.51.132.227, GameServerCode: 0)
17:23:49 [AccountInfo] Account connected (Account: dangerous8, IpAddress: 170.51.132.227, GameServerCode: 0)
17:28:29 [AccountInfo] Account disconnected by clear (Account: alberto107, IpAddress: 186.39.200.184, GameServerCode: 0)
17:28:29 [AccountInfo] Account disconnected by clear (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:28:29 [AccountInfo] Account disconnected by clear (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
17:28:29 [AccountInfo] Account disconnected by clear (Account: dangerous7, IpAddress: 170.51.132.227, GameServerCode: 0)
17:28:29 [AccountInfo] Account disconnected by clear (Account: dangerous8, IpAddress: 170.51.132.227, GameServerCode: 0)
17:28:29 [AccountInfo] Account disconnected by clear (Account: erika107, IpAddress: 186.39.200.184, GameServerCode: 0)
17:28:29 [AccountInfo] Account disconnected by clear (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
17:28:29 [AccountInfo] Account disconnected by clear (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
17:28:29 [AccountInfo] Account disconnected by clear (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
17:28:29 [AccountInfo] Account disconnected by clear (Account: salchipapa, IpAddress: 181.46.166.152, GameServerCode: 0)
17:28:29 [AccountInfo] Account disconnected by clear (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
17:29:40 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:29:42 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.200.184, GameServerCode: 0)
17:29:43 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.200.184, GameServerCode: 0)
17:29:45 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
17:29:45 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
17:29:45 [AccountInfo] Account connected (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
17:29:45 [AccountInfo] Account connected (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
17:29:45 [AccountInfo] Account connected (Account: salchipapa, IpAddress: 181.46.166.152, GameServerCode: 0)
17:29:45 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
17:30:13 [AccountInfo] Account connected (Account: dangerous7, IpAddress: 170.51.132.227, GameServerCode: 0)
17:30:13 [AccountInfo] Account connected (Account: dangerous8, IpAddress: 170.51.132.227, GameServerCode: 0)
17:34:37 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:34:49 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:36:16 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:36:22 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:40:21 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:40:27 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:43:50 [AccountInfo] Account disconnected (Account: alberto107, IpAddress: 186.39.200.184, GameServerCode: 0)
17:43:50 [AccountInfo] Account disconnected (Account: erika107, IpAddress: 186.39.200.184, GameServerCode: 0)
17:43:50 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
17:43:50 [AccountInfo] Account disconnected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
17:43:50 [AccountInfo] Account disconnected (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
17:43:50 [AccountInfo] Account disconnected (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
17:43:50 [AccountInfo] Account disconnected (Account: salchipapa, IpAddress: 181.46.166.152, GameServerCode: 0)
17:43:50 [AccountInfo] Account disconnected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
17:43:50 [AccountInfo] Account disconnected (Account: dangerous7, IpAddress: 170.51.132.227, GameServerCode: 0)
17:43:50 [AccountInfo] Account disconnected (Account: dangerous8, IpAddress: 170.51.132.227, GameServerCode: 0)
17:43:50 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:44:30 [AccountInfo] Account connected (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
17:44:30 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
17:44:30 [AccountInfo] Account connected (Account: salchipapa, IpAddress: 181.46.166.152, GameServerCode: 0)
17:44:30 [AccountInfo] Account connected (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
17:44:30 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
17:44:30 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.200.184, GameServerCode: 0)
17:44:30 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.200.184, GameServerCode: 0)
17:44:30 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:44:30 [AccountInfo] Account connected (Account: dangerous7, IpAddress: 170.51.132.227, GameServerCode: 0)
17:44:30 [AccountInfo] Account connected (Account: dangerous8, IpAddress: 170.51.132.227, GameServerCode: 0)
17:44:31 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
17:46:59 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:47:06 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:47:19 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
17:48:24 [AccountInfo] Account disconnected by clear (Account: alberto107, IpAddress: 186.39.200.184, GameServerCode: 0)
17:48:24 [AccountInfo] Account disconnected by clear (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
17:48:24 [AccountInfo] Account disconnected by clear (Account: dangerous7, IpAddress: 170.51.132.227, GameServerCode: 0)
17:48:24 [AccountInfo] Account disconnected by clear (Account: dangerous8, IpAddress: 170.51.132.227, GameServerCode: 0)
17:48:24 [AccountInfo] Account disconnected by clear (Account: erika107, IpAddress: 186.39.200.184, GameServerCode: 0)
17:48:24 [AccountInfo] Account disconnected by clear (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
