02:37:31 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
03:43:44 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.202.161, GameServerCode: 0)
03:45:02 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.202.161, GameServerCode: 0)
07:30:04 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
09:27:18 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.9, GameServerCode: 0)
09:56:17 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
10:03:16 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
10:03:53 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
10:15:50 [AccountInfo] Account disconnected (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
10:15:53 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
10:45:36 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
10:45:37 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.202.161, GameServerCode: 0)
10:45:37 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.9, GameServerCode: 0)
10:45:37 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
10:45:59 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
10:46:07 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.202.161, GameServerCode: 0)
10:46:50 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
10:47:42 [AccountInfo] Account connected (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
11:10:18 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.9, GameServerCode: 0)
14:30:52 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.89, GameServerCode: 0)
15:53:13 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
15:53:22 [AccountInfo] Account disconnected (Account: erika107, IpAddress: 186.39.202.161, GameServerCode: 0)
15:53:26 [AccountInfo] Account disconnected (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
15:53:30 [AccountInfo] Account disconnected (Account: alberto107, IpAddress: 186.39.202.161, GameServerCode: 0)
20:39:01 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.89, GameServerCode: 0)
