02:37:02 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
02:37:47 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
02:37:53 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
02:40:16 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
03:56:14 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
03:56:35 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
05:36:53 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.200.94, GameServerCode: 0)
05:37:52 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.200.94, GameServerCode: 0)
08:28:50 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.89, GameServerCode: 0)
08:38:10 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.89, GameServerCode: 0)
08:39:41 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.89, GameServerCode: 0)
14:59:16 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.89, GameServerCode: 0)
14:59:55 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.89, GameServerCode: 0)
15:34:56 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
23:15:02 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
23:15:42 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
