01:53:54 [AccountInfo] Account connected (Account: all950, IpAddress: 186.128.3.18, GameServerCode: 0)
06:42:03 [AccountInfo] Account disconnected by clear (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
06:42:03 [AccountInfo] Account disconnected by clear (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
06:42:03 [AccountInfo] Account disconnected by clear (Account: alberto107, IpAddress: 186.39.203.82, GameServerCode: 0)
06:42:03 [AccountInfo] Account disconnected by clear (Account: all950, IpAddress: 186.128.3.18, GameServerCode: 0)
06:42:03 [AccountInfo] Account disconnected by clear (Account: belen107, IpAddress: 186.39.203.82, GameServerCode: 0)
06:42:03 [AccountInfo] Account disconnected by clear (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
06:42:03 [AccountInfo] Account disconnected by clear (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
06:42:03 [AccountInfo] Account disconnected by clear (Account: braian92, IpAddress: 190.17.22.8, GameServerCode: 0)
06:42:03 [AccountInfo] Account disconnected by clear (Account: ciro107, IpAddress: 186.39.203.82, GameServerCode: 0)
06:42:03 [AccountInfo] Account disconnected by clear (Account: dangerous8, IpAddress: 181.225.27.53, GameServerCode: 0)
06:42:03 [AccountInfo] Account disconnected by clear (Account: erika107, IpAddress: 186.39.203.82, GameServerCode: 0)
06:42:43 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
06:42:44 [AccountInfo] Account connected (Account: all950, IpAddress: 186.128.3.18, GameServerCode: 0)
06:42:44 [AccountInfo] Account connected (Account: ciro107, IpAddress: 186.39.203.82, GameServerCode: 0)
06:42:44 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.203.82, GameServerCode: 0)
06:42:44 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
06:42:44 [AccountInfo] Account connected (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
