07:17:16 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
07:17:24 [AccountInfo] Account disconnected (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
07:17:28 [AccountInfo] Account disconnected (Account: 92nato4, IpAddress: 200.5.101.170, GameServerCode: 0)
07:18:21 [AccountInfo] Account connected (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
08:16:55 [AccountInfo] Account connected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
08:17:16 [AccountInfo] Account disconnected by clear (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
08:17:16 [AccountInfo] Account disconnected by clear (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
08:17:16 [AccountInfo] Account disconnected by clear (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
08:24:26 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
08:24:45 [AccountInfo] Account connected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
08:26:40 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
08:26:40 [AccountInfo] Account connected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
08:30:46 [AccountInfo] Account connected (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
08:33:12 [AccountInfo] Account disconnected by clear (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
08:33:12 [AccountInfo] Account disconnected by clear (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
08:33:12 [AccountInfo] Account disconnected by clear (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
08:35:29 [AccountInfo] Account connected (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
08:35:29 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
08:36:01 [AccountInfo] Account connected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
09:05:52 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
09:06:33 [AccountInfo] Account connected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
09:09:26 [AccountInfo] Account disconnected by clear (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
09:09:26 [AccountInfo] Account disconnected by clear (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
09:09:26 [AccountInfo] Account disconnected by clear (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
09:17:07 [AccountInfo] Account connected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
09:18:32 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 208.64.68.5, GameServerCode: 0)
09:22:30 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
09:44:08 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
09:47:06 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
09:47:26 [AccountInfo] Account connected (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
11:56:46 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
13:41:08 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
13:41:09 [AccountInfo] Account disconnected (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
13:45:17 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
14:54:15 [AccountInfo] Account disconnected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
16:03:35 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
16:04:28 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
