09:45:52 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
11:00:02 [AccountInfo] Account connected (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
11:08:43 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
16:45:12 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
18:12:45 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
18:43:37 [AccountInfo] Account disconnected (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
18:44:18 [AccountInfo] Account connected (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
18:46:48 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
18:47:04 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
18:58:09 [AccountInfo] Account disconnected (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
18:58:14 [AccountInfo] Account connected (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
