//|================================================================|
//| Zythe CashShop Editor Ver 1.0.0.0                              |
//| Credit: Zyth3                               [skype:i_am_zythe] |
//|================================================================|
//-> Weapons
	0 			26
	0 			27
	0 			28
	0 			29
	0 			30
	0 			36
	0 			37
//-> Scepeters
	2 			16
	2 			17
	2 			19
	2 			20
//-> Spears
	3 			12
//-> Bows
	4 			23
	4 			25
	4 			26
//-> Staffs
	5 			20
	5 			30
	5 			31
	5 			32
	5 			35
	5 			37
//-> Shields
	6 			17
	6 			18
	6 			19
	6 			20
	6 			22
	6 			23
	6 			24
	6 			25
	6 			26
//-> Helms
	7 			44
	7 			45
	7 			46
	7 			49
	7 			50
	7 			51
	7 			52
	7 			53
	7 			54
	7 			55
	7 			56
	7 			58
	7 			74
	7 			75
//-> Armors
	8 			44
	8 			45
	8 			46
	8			47
	8 			48
	8 			49
	8 			50
	8 			51
	8 			52
	8 			53
	8 			54
	8 			55
	8 			56
	8 			57
	8 			58
	8 			74
	8 			75
	8 			76
//-> Pants
	9 			44
	9 			45
	9 			46
	9			47
	9 			48
	9 			49
	9 			50
	9 			51
	9 			52
	9 			53
	9 			54
	9 			55
	9 			56
	9 			57
	9 			58
	9 			74
	9 			75
	9 			76
//-> Gloves
	10 			44
	10 			45
	10 			46
	10			47
	10 			48
	10 			49
	10			50
	10			51
	10 			52
	10 			53
	10			54
	10			55
	10			56
	10			57
	10			58
	10			74
	10			75
	10			76
//-> Boots
	11 			44
	11 			45
	11 			46
	11			47
	11 			48
	11 			49
	11			50
	11			51
	11 			52
	11 			53
	11			54
	11			55
	11			56
	11			57
	11			58
	11			74
	11			75
	11			76
