//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ProductID	ProductNumber	ItemGroup	ItemIndex	Price	Durability	UseTime	80	Level	Skill	Luck	Option	ExOpt	AncOp	Comment
1000	1000	13	76	100	0	0	80	0	0	0	0	0	0	// Panda Ring (1 UN)
1010	1010	13	80	100	0	0	80	0	0	0	0	0	0	// Pet Panda (1 UN)
1020	1020	13	106	100	0	0	80	0	0	0	0	0	0	// Pet Unicorn (1 UN)
1030	1030	13	123	100	0	0	80	0	0	0	0	0	0	// Pet Skeleton (1 UN)
1040	1040	13	37	100	0	0	80	0	0	0	0	0	0	// Horn of Fenrir (1 UN)
1050	1050	13	39	100	0	0	80	0	0	0	0	0	0	// Eilte Transfer Skeleton Ring (1 UN)
1060	1060	14	53	100	0	0	80	0	0	0	0	0	0	// Talisman of Luck (1 UN)
1070	1070	14	96	100	0	0	80	0	0	0	0	0	0	// Talisman of Chaos Assembly (1 UN)
1080	1080	14	97	100	0	0	80	0	0	0	0	0	0	// Scroll of Battle (1 UN)
1090	1090	14	72	100	0	0	80	0	0	0	0	0	0	// Scroll of Quickness (1 UN)
1100	1100	14	73	100	0	0	80	0	0	0	0	0	0	// Scroll of Defense (1 UN)
1110	1110	14	74	100	0	0	80	0	0	0	0	0	0	// Scroll of Wrath (1 UN)
1120	1120	14	75	100	0	0	80	0	0	0	0	0	0	// Scroll of Wizardry (1 UN)
1130	1130	14	76	100	0	0	80	0	0	0	0	0	0	// Scroll of Health (1 UN)
1140	1140	14	77	100	0	0	80	0	0	0	0	0	0	// Scroll of Mana (1 UN)
1150	1150	14	78	100	0	0	80	0	0	0	0	0	0	// Elixir of Strength (1 UN)
1160	1160	14	79	100	0	0	80	0	0	0	0	0	0	// Elixir of Agility (1 UN)
1170	1170	14	80	100	0	0	80	0	0	0	0	0	0	// Elixir of Health (1 UN)
1180	1180	14	81	100	0	0	80	0	0	0	0	0	0	// Elixir of Energy (1 UN)
1190	1190	14	82	100	0	0	80	0	0	0	0	0	0	// Elixir of Control (1 UN)
1200	1200	14	98	100	0	0	80	0	0	0	0	0	0	// Scroll of Strength (1 UN)
1210	1210	14	140	100	0	0	80	0	0	0	0	0	0	// Scroll of Healing (1 UN)
1220	1220	13	46	100	0	0	80	0	0	0	0	0	0	// Devil Square Ticket (1 UN)
1230	1230	13	47	100	0	0	80	0	0	0	0	0	0	// Blood Castle Ticket (1 UN)
1240	1240	13	48	100	0	0	80	0	0	0	0	0	0	// Kalima Ticket (1 UN)
1250	1250	13	49	100	0	0	80	0	0	0	0	0	0	// Old Scroll (1 UN)
