//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
7           39     0       0     0       1      1        0	0	0	0	255	255	255	255	255
8           39     0       0     0       1      1        0	0	0	0	255	255	255	255	255
9           39     0       0     0       1      1        0	0	0	0	255	255	255	255	255
10          39     0       0     0       1      1        0	0	0	0	255	255	255	255	255
11          39     0       0     0       1      1        0	0	0	0	255	255	255	255	255
7           40     0       0     0       1      1        0	0	0	0	255	255	255	255	255
8           40     0       0     0       1      1        0	0	0	0	255	255	255	255	255
9           40     0       0     0       1      1        0	0	0	0	255	255	255	255	255
10          40     0       0     0       1      1        0	0	0	0	255	255	255	255	255
11          40     0       0     0       1      1        0	0	0	0	255	255	255	255	255
1           0      0       0     0       1      1        0	0	0	0	255	255	255	255	255
0           1      0       0     0       1      1        0	0	0	0	255	255	255	255	255
1           1      0       0     0       1      1        0	0	0	0	255	255	255	255	255
0           2      0       0     1       1      1        0	0	0	0	255	255	255	255	255
1           4      0       0     0       1      1        0	0	0	0	255	255	255	255	255
0           0      0       0     0       1      1        0	0	0	0	255	255	255	255	255
5           0      0       0     0       1      1        0	0	0	0	255	255	255	255	255
5           14     0       0     0       1      1        0	0	0	0	255	255	255	255	255
5           15     0       0     0       1      1        0	0	0	0	255	255	255	255	255
5           16     0       0     0       1      1        0	0	0	0	255	255	255	255	255
end
